Period;Radius
8.4629991;3.957
8.4629991;3.957
8.4629991;3.957
8.4629991;3.957
1071.23205;10.16
4.055259;14.235
3.24406;18.159
3.24406;18.159
4.5445697;6
4.5445697;6
4.5445697;6
5.508023;11.153
5.508023;11.153
4.5445697;6
4.5445697;6
4.5445697;6
4.5445697;6
1.467119;1.305
1.467119;1.305
1.467119;1.305
12.4032;6.41
12.4032;6.41
1.348335;3.02
5.414654;5.93
14.70886;6.18
4.46529976;14.785
4.88780244;4.36
5.508023;11.153
2.8106;16.141
7.3279474;8.097
2.73477;17.934
4.511164;17.878
1.09142;21.712
0.78883852;15.861
3.36101;11.545
4.37808;15.805
3.86814;12.442
1.809886;20.512
1.809886;20.512
3.06785234;11.198
3.95019;17.71
10.35509;2.518
10.35509;2.518
21.01538;3.497
21.01538;3.497
35.12537;3.232
35.12537;3.232
9.192522;3.1
9.192522;3.1
16.364988;4.07
16.364988;4.07
8.24958;5.59
8.24958;5.59
12.4032;6.41
12.4032;6.41
0.76552414;3.444
0.76552414;3.444
0.76552414;3.444
1.809886;20.512
37.42396;1.073
27.80978;0.953
3.2130598;10.749
6.441008;2.25
6.441008;2.25
18.772866;0.755
18.772866;0.755
18.772866;0.755
18.772866;0.755
18.772866;0.755
18.772866;0.755
2.753436;1.032
2.753436;1.032
2.753436;1.032
2.753436;1.032
2.753436;1.032
1071.23205;10.16
24.73694;1.635
24.73694;1.635
10.64;2.079
10.64;2.079
10.64;2.079
10.64;2.079
10.64;2.079
10.64;2.079
3.4741084;19.51
3.123898;1.147
3.123898;1.147
3.123898;1.147
3.123898;1.147
3.123898;1.147
5.358765;1.18
5.358765;1.18
5.358765;1.18
3.777940;1.272
3.777940;1.272
3.777940;1.272
24.73723;1.730
24.73723;1.730
24.73723;1.730
24.73723;1.730
24.73723;1.730
24.73723;1.730
2.7299025;1.320
2.7299025;1.320
2.7299025;1.320
2.7299025;1.320
2.7299025;1.320
2.7299025;1.320
2.7299025;1.320
2.7299025;1.320
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
8.457463;1.367
104.854;9.08
104.854;9.08
5.358765;1.18
5.358765;1.18
5.358765;1.18
5.358765;1.18
5.358765;1.18
5.358765;1.18
5.358765;1.18
5.358765;1.18
1.48111874;21.20
1.48111874;21.20
3.9846654;2.16
3.9846654;2.16
3.9846654;2.16
1.9495378;1.242
1.9495378;1.242
1.9495378;1.242
1.9495378;1.242
1.9495378;1.242
1.9495378;1.242
1.9495378;1.242
1.630757;11.6
1.630757;11.6
60.33266;11.2
7.3279496;8.097
4.43796263;19.565
4.43796263;19.565
2.150008197;22.19
0.73654625;1.875
0.73654625;1.875
0.73654625;1.875
0.46292964;1.303
0.46292964;1.303
0.46292964;1.303
0.46292964;1.303
0.46292964;1.303
0.46292964;1.303
0.46292964;1.303
0.46292964;1.303
0.46292964;1.303
35.455984;9.16
35.455984;9.16
17.203;8.0
17.203;8.0
40.750145;10.9
40.750145;10.9
12.4610213;3.29
12.4610213;3.29
