prog_no;Cycle;Prog Type;Obs #;Label;Obs type;Target;TOI;RA (deg);Dec (deg);Gmag;Kmag;Teff (K);Planet;Period (d);Radius (Re);Radius (RJ);Teq (K);;;
1201;1;GTO;311;transit d;transit;L 98-59;175;124.5333941;-68.31517518;10.5976;7.101;3412;L 98-59 d;7.450729;1.58;0.141;407;;;
1201;1;GTO;401;Transit;transit;LP 791-18;736;165.6899741;-16.40657454;15.0715;10.644;2960;LP 791-18 c;4.9899093;2.438;0.218;352;;;
1201;1;GTO;2;phase curve;phase;LTT 9779;193;358.6694858;-37.628361;9.60006;8.016;5443;LTT 9779 b;0.792052;4.72;0.421;1974;;;
1201;1;GTO;101;Planet f - transit 1;transit;TRAPPIST-1;;346.6282929;-5.044435834;15.6451;10.296;2566;TRAPPIST-1 f;9.20754;1.045;0.093;218;;;
1201;1;GTO;102;Planet f - transit 2;transit;TRAPPIST-1;;346.6284695;-5.044526389;15.6451;10.296;2566;TRAPPIST-1 f;9.20754;1.045;0.093;218;;;
1201;1;GTO;103;Planet f - transit 3;transit;TRAPPIST-1;;346.6284826;-5.0445331;15.6451;10.296;2566;TRAPPIST-1 f;9.20754;1.045;0.093;218;;;
1201;1;GTO;104;Planet f - transit 4;transit;TRAPPIST-1;;346.628463;-5.044523043;15.6451;10.296;2566;TRAPPIST-1 f;9.20754;1.045;0.093;218;;;
1201;1;GTO;105;Planet f - transit 5;transit;TRAPPIST-1;;346.6284565;-5.044519681;15.6451;10.296;2566;TRAPPIST-1 f;9.20754;1.045;0.093;218;;;
1201;1;GTO;111;Planet d - transit 1;eclipse;TRAPPIST-1;;346.6283016;-5.044440309;15.6451;10.296;2566;TRAPPIST-1 d;4.049219;0.788;0.07;287;;;
1201;1;GTO;112;Planet d - transit 1;eclipse;TRAPPIST-1;;346.6282988;-5.044438833;15.6451;10.296;2566;TRAPPIST-1 d;4.049219;0.788;0.07;287;;;
1201;1;GTO;8;Primary transit;transit;WASP-107;1905;188.3862108;-10.14623457;11.174;8.637;4425;WASP-107 b;5.7214742;10.536;0.94;745;;;
1201;1;GTO;502;eclipse NIRSPEC (repeat);transit;WASP-107;1905;188.3864275;-10.14621389;11.174;8.637;4425;WASP-107 b;5.7214742;10.536;0.94;745;;;
1201;1;GTO;1;Phase curve;phase;WASP-121;495;107.6002201;-39.09721013;10.3746;9.374;6776;WASP-121 b;1.27492504;19.649;1.753;2450;;;
1201;1;GTO;6;transit;transit;WASP-127;675;160.5588097;-3.83496017;10.054;8.641;5620;WASP-127 b;4.17806203;14.695;1.311;1421;;;
1201;1;GTO;501;transit;transit;WASP-52;;348.4947789;8.760989533;11.9537;10.086;5000;WASP-52 b;1.7497798;14.24;1.27;1299;;;
1201;1;GTO;7;eclipse;transit;WASP-80;5801;303.1664923;-2.14455321;11.273;8.351;4143;WASP-80 b;3.06785234;11.198;0.999;827;;;
1224;1;GTO;1;L98-59d - Transit;transit;L 98-59;175;124.5334294;-68.31522066;10.5976;7.101;3412;L 98-59 d;7.450729;1.58;0.141;407;;;
1224;1;GTO;3;WASP-107b - Transit;transit;WASP-107;1905;188.3862103;-10.14623613;11.174;8.637;4425;WASP-107 b;5.7214742;10.536;0.94;745;;;
1224;1;GTO;2;WASP-43b - Phase curve;phase;WASP-43;656;154.9080936;-9.806524997;11.907;9.267;4400;WASP-43 b;0.813475;10.424;0.93;1379;;;
1224;1;GTO;4;WASP-52b - Eclipse;eclipse;WASP-52;;348.4947776;8.760980605;11.9537;10.086;5000;WASP-52 b;1.7497798;14.24;1.27;1299;;;
1274;1;GTO;12;eclipse;eclipse;GJ 1132;667;153.7056263;-47.1540157;12.138;8.322;3270;GJ 1132 b;1.628931;1.13;0.101;584;;;
